1.000,0.015,0.084,0.461,0.239,0.258,0.138,0.084,0.069,0.050,0.169,0.044,0.031,0.462,0.202,0.008,0.481,0.421,0.026,0.033,0.033,0.235,0.190,0.317,0.168,0.549,0.083,0.030,0.012,0.047,0.461,0.574,0.018,0.030,0.074,0.005,0.020,0.018,0.080,0.236,0.093,0.143,0.009,0.086,0.009,0.227,0.283,0.256,0.019,0.034
0.015,1.000,0.019,0.011,0.024,0.013,0.002,0.021,0.018,0.019,0.021,0.026,0.035,0.006,0.007,0.212,0.006,0.014,0.016,0.018,0.028,0.015,0.007,0.009,0.027,0.009,0.008,0.016,0.058,0.016,0.005,0.011,0.039,0.015,0.013,0.207,0.036,0.195,0.047,0.020,0.006,0.004,0.018,0.016,0.028,0.005,0.006,0.013,0.845,0.057
0.084,0.019,1.000,0.189,0.067,0.450,0.224,0.159,0.111,0.237,0.047,0.042,0.039,0.065,0.174,0.007,0.185,0.095,0.031,0.044,0.032,0.051,0.067,0.022,0.065,0.306,0.125,0.065,0.034,0.016,0.066,0.106,0.011,0.032,0.020,0.035,0.005,0.020,0.026,0.066,0.031,0.023,0.008,0.129,0.028,0.319,0.080,0.013,0.013,0.037
0.461,0.011,0.189,1.000,0.658,0.326,0.079,0.037,0.041,0.226,0.255,0.027,0.030,0.358,0.218,0.030,0.564,0.400,0.011,0.019,0.006,0.126,0.402,0.383,0.096,0.546,0.016,0.027,0.032,0.100,0.538,0.461,0.016,0.029,0.172,0.029,0.014,0.036,0.025,0.400,0.293,0.540,0.005,0.058,0.022,0.211,0.254,0.516,0.030,0.031
0.239,0.024,0.067,0.658,1.000,0.092,0.129,0.008,0.029,0.341,0.551,0.017,0.019,0.127,0.081,0.033,0.209,0.135,0.021,0.013,0.023,0.052,0.569,0.546,0.303,0.211,0.048,0.031,0.015,0.068,0.277,0.144,0.020,0.048,0.093,0.005,0.016,0.031,0.036,0.638,0.455,0.661,0.019,0.071,0.031,0.134,0.468,0.691,0.014,0.009
0.258,0.013,0.450,0.326,0.092,1.000,0.028,0.088,0.122,0.196,0.180,0.070,0.095,0.350,0.228,0.014,0.467,0.434,0.051,0.031,0.042,0.190,0.181,0.126,0.131,0.321,0.073,0.028,0.006,0.023,0.164,0.401,0.011,0.038,0.023,0.013,0.007,0.019,0.010,0.077,0.094,0.063,0.011,0.083,0.033,0.098,0.058,0.055,0.005,0.057
0.138,0.002,0.224,0.079,0.129,0.028,1.000,0.054,0.051,0.317,0.298,0.005,0.030,0.490,0.638,0.006,0.084,0.338,0.038,0.024,0.008,0.111,0.322,0.310,0.234,0.291,0.101,0.063,0.003,0.036,0.235,0.355,0.007,0.053,0.163,0.012,0.007,0.015,0.012,0.186,0.250,0.100,0.014,0.020,0.006,0.382,0.180,0.081,0.009,0.014
0.084,0.021,0.159,0.037,0.008,0.088,0.054,1.000,0.948,0.071,0.042,0.053,0.023,0.020,0.056,0.017,0.032,0.016,0.123,0.153,0.157,0.186,0.018,0.008,0.036,0.078,0.305,0.127,0.024,0.045,0.025,0.028,0.022,0.383,0.057,0.012,0.013,0.027,0.124,0.018,0.024,0.026,0.044,0.351,0.148,0.098,0.042,0.034,0.002,0.128
0.069,0.018,0.111,0.041,0.029,0.122,0.051,0.948,1.000,0.054,0.045,0.020,0.055,0.014,0.060,0.008,0.038,0.029,0.104,0.219,0.054,0.179,0.004,0.022,0.042,0.065,0.316,0.140,0.030,0.052,0.031,0.035,0.023,0.368,0.067,0.023,0.026,0.025,0.039,0.015,0.004,0.011,0.023,0.486,0.141,0.094,0.031,0.020,0.006,0.133
0.050,0.019,0.237,0.226,0.341,0.196,0.317,0.071,0.054,1.000,0.768,0.036,0.026,0.081,0.073,0.016,0.043,0.060,0.018,0.027,0.004,0.080,0.417,0.197,0.062,0.161,0.063,0.048,0.013,0.075,0.198,0.066,0.012,0.007,0.170,0.011,0.020,0.048,0.021,0.616,0.718,0.367,0.003,0.036,0.009,0.134,0.283,0.323,0.032,0.014
